微博正文,微博正文,#上海国际电影节# 排片表来啦！6/5 8:00 ?调好，拼手速！http://t.cn/A6Vl6dmD @上海国际电影节 ?原图?,手可摘星辰定义未来十年，精品内容新方向金钥匙??创投计划好喜欢这个LOGO好喜欢这种态度好喜欢这样的携手同行好期待，繁星满天张一白 徐峥 郭帆 韩寒 文牧野 ??电影长片or中短剧集??报名戳??http://t.cn/A6V06uRV ?原图?,第24届上海国际电影节金爵奖主竞赛单元、动画片单元、纪录片单元、短片单元评委会 ?[组图共15张]?原图?,名场面+因果论，有木有呀！最后，周王落寞，盛将军完胜，盛傅CP终成眷属#电视剧骊歌行##许凯骊歌行# ?[组图共6张]?原图?,第二十七届上海电视节将于2021年6月6日至10日举办。本届电视节白玉兰奖中国电视剧类别入围名单如下： ?[组图共10张]?原图?,爱了 ?[组图共4张]?原图?,小辰光过年额米道……花菜肉片，芹菜鱿鱼，苔条花生，熏鱼，糖醋小排，咖喱芋艿，蒸臭豆腐，榨菜血汤，香莴笋，肚皮，烤麸，素鸡……阳春面，葱油拌面，冷馄饨，样样有……吃了个遍听老板回忆老虎灶，混堂浴室，茶楼小开……念想这玩意，真是个好东西 上海·逸桂禾 ?显示地图?[组图共6张]?原图?,今年SIFF最期待——新世纪福音战士新剧场版的前三部《新世纪福音战士新剧场版：序》、《新世纪福音战士新剧场版：破》、《新世纪福音战士新剧场版：Q》，在期待《新世纪福音战士新剧场版：终》正式引进的同时，让我们走进影院，先在大银幕上感受一下前三部的魅力吧。 ?[组图共3张]?原图? 
大家好，是傅如乔。今天我要宣布一个事情，我与辰星娱乐（北京）有限公司的经纪合同已经因到期而全部终止。感谢公司这一年半对我的用心栽培与付出，作为第一个踏入社会所接触的环境，辰星娱乐真的教导了我很多，让我成长了很多。感谢潘总和公司的哥哥姐姐们，一直记得大家就算过年期间也在公司没日没夜地工作，上班的时间也都很忙碌，谢谢，辛苦了。感谢周总做出“微微”和“谢谢你给我的”，并且让我演唱，还有很多时候跟我分享音乐和经验，信任我、听取我的意见，真的辛苦了。感谢思妤姐对我的耐心、包容、悉心照顾，时常关心我的日常生活，也尽力跟我一同进行工作，还给我穿很多彩色衣服，辛苦了。感谢小周总每一个视觉、视频作品，从进组前到进组后，用心设计每一个细节，并且随时关心我的状态、提醒我，辛苦了。感谢芳姐像个姐姐一般对待我，从各方面都替我把关，总是考虑着我、安慰着我、劝勉着我、鼓励着我，尽管其他方面工作也繁忙，却总是心里有我，辛苦了。还有很多的哥哥姐姐、老师们！从最早的郭哥跟浩云姐在我最初到公司的时候照顾我、关心我。所有艺管老师对我曾经的叮咛、鼓励、辛苦安排（天知道排课表是多么心累的事情，然而他们每几天就得做一次），还帮助我进行搭衣服、拍摄等工作。摄影哥哥姐姐，跟我去录音录了八小时，都抱着相机睡着了！最温暖的苗苗姐，了解我的性格，布置任务的时候总是用我最舒适、便捷的方式，提前为我做规划。冬琪姐，总是挡在我前面、与我一同受罚的朋友（根本没有那么夸张哈哈哈），我的定心针。谢谢大家，大家都辛苦了。那些还在公司努力的伙伴们，祝福你们都能实现梦想。那些还在打拼的老师们跟哥哥姐姐们，照顾好自己，别太劳累了。周总还有好多好多感动的旋律还没有谱写完成，很期待见到那些作品。祝福所有人都完成自己的目标，过得开心满足，心里面平安喜乐，大家都往光明的未来大步迈进！再次说声谢谢，辛苦了。（90度鞠躬????♀?）未来，我会继续努力，继续勇敢，继续当大家的小太阳！谢谢大家对我的关注和支持。P.S. 以后的工作事宜请发到这个邮箱：qiao-official@sina.com            ?[组图共2张]    ??原图                        ?    ,在北京如同妈妈般把我养胖的勾勾，最照顾人的白面馒头，吃饭最香的人没有之一，喜欢你，希望你开心，希望我们一起变好、变强！生日快乐????????@勾勾勾雪莹啊 成都·大慈寺 ?显示地图?[组图共7张]?原图?,风大的天就要戴帽子??穿上大大的皮鞋就不怕被吹走了??????????♀?#今日乔装# ?[组图共9张]?原图?,假期的尾巴～抓住！春天的尾巴～抓住！该大扫除换夏天衣搂????（温差还是很大 大家记得要带外套）#今日乔装# ?? #五一随手拍# ?[组图共8张]?原图?,分享青春有你2-傅如乔 的@绿洲 动态:「刘海过渡期救星??毛帽儿」 刘海过渡期真的离不开我的粉红毛帽儿～～～... 绿洲 ?原图?,每个人心中都有属于自己的“最天使”，或好或坏、或恨或爱。由我重新演绎的《最天使》上线啦～～????感谢所有老师们，辛苦了！????♀?大家点击下面链接??就可以收听了哦，希望这首重制版《最天使》能给你带来更多美好的记忆～ #亚洲新歌榜#??#傅如乔唱最天使#????#爆娱计划# 最天使-傅如乔                ??原图                        ?    ,大家好，是傅如乔～唱了一个很简单又不简单的歌，是很多人都喜欢的《最天使》，有的人喜欢它是因为纯粹，有的人喜欢它是因为替自己诉说了心里的话，不管喜欢它什么，4月28日，来网易[浮雲][音樂]听胖乔版《最天使》吧！欢迎各位动动你们的手指头，多多评论～4/28评论区见???? ?原图?,看左看右看天看地这是一个秘密已做好决定????♀?????????♂?#今日乔装# ?[组图共6张]?原图?,出门买东西自己带环保袋、口罩好好处理不随意丢弃、减少一次性餐具的使用。。。我们能做到的其实有好多好多～修复我们的地球，从小地方做起，和我一起吧！??#世界地球日##今日乔装# ?[组图共6张]?原图?,最近这几天收到很多人的生活心情分享，有个乔家人跟我说自己怎么努力也考不好（给你一个大大的隔空大抱抱，一定觉得很难过很气馁吧??），我想到我有一个朋友，她高中的时候总是在“生物”这个科目上花很多很多时间，是非常认真的那种！但是怎么努力她都还是考不及格，我们都跟她提了建议，可能她就是跟生物无缘、或是她用错方法了，这其中的答案都只能她自己去摸索。所以当你确认自己努力了之后，还是没有收到相应的成果，可能你需要去回顾一下，看看哪里可以调整的更好，或是你可以换一个努力的目标，说到底，只有你自己能找到答案。我上高中的时候“数学”非常差，高考（我们那叫学测）时我比别人多答对的那两道题都是用尺量出来的......（我真的是一个考运非常好的人），可是我其实也在“数学”上下过很多功夫的！只是慢慢地我发现，当我抱着要精通数学的奋斗精神，连续三个小时埋头做题目的时候，可能真正搞懂的不到五题??，but如果我把那三小时花在“地理”上，我可能就把一半以上的考试范围都复习完了。所以后来！我对数学的态度产生了改变：我只拿基本分，不多不少，但是基本概念和基础公式我一定要弄清楚背明白。我看成绩一直都看的是综合成绩，在读书这块我负责任地说我是认真对待的，但是我也不苛求自己，每个人都有擅长与不擅长，所以我不擅长的科目我对自己的要求就是：把握基本分。这样我在复习的时候就不会顶着无比巨大的压力，但是考出来也不至于太难看。世界上本来就有很多努力是得不到回报的，仍然为之奋斗的原因是在于自己心里面的渴望，还有眼睛注目着的那个东西、那个地方，或是你也可以想成是，回报“还没”来，它在来的路上了，只是还没到呢～～你如果想做到的话，就再多努力一点，再多试试别的办法，也可以听听别人的意见，吸收对自己有帮助的东西，最重要的是要行动起来呀同学们！最后我突然想说：问心无愧的意思是，当你摸摸自己的良心，觉得很坦荡的时候，就let it go吧～而不是绷着一股气堆在肚子里然后假装自己不在意！还是非常非常希望，人类们的努力都能得到回报呢！以上只是我的个人想法还有经验，不一定适用于所有人嘿！但是希望能起到一点帮助作用??（em...我在想是不是可以弄一个聊聊天地之类的哈哈哈）没事的，嘎油！！！我们一起哦！??????                ??原图                        ?    
七彩缤纷大挑战??????（岱镁说是西瓜眼影） ?[组图共2张]?原图?,人生第一次熬大夜的那天真的一张照片都没有这个还是发给老师们确认的定妆照。。。衣服都是皱的（芳姐别打我??）哈哈哈 没关系la～～（吧）！去年的今天跟大家在舞台上见面了，很幸运、很开心。那段日子真的又累又忙又无比幸福呢(?￣? ?? ￣??)现在依然过的很充实、快乐～发布了一些作品，得到了很多鼓励和帮助，真的很感谢至今为止在我生命中驻足或是经过的人们，无论我们是否有幸相见，我都满满当当踏踏实实地感受到了你们的存在。今后会更加屹立不摇、坚守自我????我才不怕可怕的黑暗呢！因为我自己会把自己点亮的！哇哈哈哈哈哈??希望大家都可以平安快乐健康善良?? 补一句：我有东西的！[拳頭]                ??原图                        ?    ,看看我翻到了什么！！！??初版《亲亲的人呐》歌词@王欣宇zoe @勾勾勾雪莹啊 @青春有你2-夏研 @喜祺-上官喜爱 @喜祺-墨谣 @张钰lusgua 还有一些为数不多出自我的大手的笔记们想当初练初舞台是人生第一次唱跳，然后一开始真的很不习惯，但是又是很开心的歌～～于是直接在笔记上画了个大笑脸，其实当时是很气自己为什么无法一气呵成，才画了这个笑脸的！现在看来就觉得都是很美好很美好的回忆。初舞台的手抄《微微》歌词失误版本，因为不想要给老师们涂改过后的，所以我至少抄了十次有了吧（怎么有办法一直写错字），那个时候真的很紧张又很兴奋??好喜欢??好怀念??            ?[组图共6张]    ??原图                        ?    ,拥有超巨大相纸匣的超可爱拍立得??附送久没出现的牛海(?￣? ?? ￣??)我最近才被告知护发发膜一定要停留15分钟以上才能有效护发（最好30分钟），，，我感觉????????????不suo了～～吃午餐去?????????????? ?[组图共3张]?原图?,开心学习，快乐成长。（喜欢我新买的小绿皮鞋） #今日乔装# ?[组图共4张]?原图?,假装自己是麦瑟尔夫人??（失败直接变成电梯小姐）突然好想要大卷卷头发！还要ber亮ber亮的那种～～～?今天上课到头昏眼花，吃了紫菜包饭儿????最喜欢肉松的?? #今日乔装# ?[组图共3张]?原图?,微博正文,儿童也是可以很端庄的，ok～？哈哈哈儿童节快乐啊大家??#六一儿童节# ?[组图共2张]?原图?,五十二赫兹的你让我再打打歌吧同学们～～～感谢所有老师！这次的作品我真的非常喜欢，也参与了所有环节的讨论，老师们都很认真参考我的想法，也给出最专业的意见与判断，辛苦了。特别感谢我的夏老师，时间紧凑之下不忘把关质量，虽然过程中频临崩溃哈哈哈哈哈??还有视觉设计老师，每次给我的东西我都已经很满意了，还是不断再次修改想要更好！楠妈跟格子老师也是都立即回应我所有的需求，尽量去完善这个作品，你们真的都是很棒的创作者！我的亲亲人儿们就更不用说了，非常走心地对我说了很多话，也时刻帮助我。一个作品的产出真的涉及到好多人好多个环节，每个环节的人（老师们）都尽力为作品着想，是好幸福的事情。（当然也不轻松，是沉甸甸的幸福，也更真切）喜欢??感恩????也希望大家多多支持《五十二赫兹的你》～～??????????《五十二赫兹的你》傅如乔作词: 魏楠@魏楠V 作曲: 杨格@杨格MONO 编曲：邓伊伦@邓伊伦 制作人: 杨格执行制作人：魏楠音乐企划：大凯Stu@大凯Stu 人声念白：亲亲组（@勾勾勾雪莹啊 /@喜祺-墨谣 /@喜祺-上官喜爱 /@王欣宇zoe /@青春有你2-夏研 /@张钰lusgua ）弦乐编写: 邓伊伦弦乐监制：胡静成小提琴：庞阔/张浩中提琴：毕芳大提琴：郎莹弦乐录音：李昕达配唱制作人：宇儿@宇儿YuChang 和声编写/和声: 宇儿音频编辑：杨格混音/母带: 李宗远录音师: 李宗远人声录音室: Studio21A摄影：夏天星@夏天星Hsia_photography 造型：melomelo妆发：六六@SIXIX刘六六视觉设计：@Sonic游 @SONICFISH_念之影像            ?[组图共2张]    ??原图                        ?    ,玛丽莲，今天，要和你正式道别了。多好啊，在傅菁的人生中，能短暂的成为你一段时间。喜欢你的人都说，你勇敢、深情。我也觉得你活得至情至性。穆旦在《冥想》里写道：这才知道我的全部努力，不过完成了普通的生活。但好在，你的全部努力一定是活成了你想要的样子了吧！那，希望每一个玛丽莲满腔孤勇不被辜负，尽兴此生。好不喜欢谢幕离场这个词，好像所有一切戛然而止，没有后续。但想一直逗你们笑，惹你们哭，和你们分享所有的故事......那就等下一次，不管什么时候，不管是什么，不管在哪，一定要再一次拉开帷幕。            ?[组图共3张]    ??原图                        ?    
我，傅菁，极光水已经陪伴我1年了。它帮我养成透亮肌肤，帮我把#不好的全抛光#！兰蔻618闪耀开启，快和我一起康康超值星品～#兰蔻618 yyds#  【618预售】兰蔻净澈焕肤双重精华水150/250ml 极光水混油皮 ?[组图共9张]?原图?,#618年中追新季#火热来袭！作为“618年中追新季的品质苛学推荐官”，我有一套独家“追新”法则——选专业的、选适合的、选安全的！先来分享下我最近在剧组新发现的最爱吧，#理肤泉B5修复霜#，多效万能，随时随地有它在就很安心哦~年中大促记得囤它准没错！天猫618预售期已经正式开始，来@理肤泉larocheposay 官方旗舰店，超多特惠等你来抢，可别忘记6.1付尾款哦！ 傅菁的微博视频                            ?    ,#诗词歌芙[超话]# 2021/05/24/Mon.一闪一闪亮晶晶，照亮行路赠光明。[蜡烛] ?原图?,真香的「尝星盒」，每样都想尝一尝～#兰蔻618试不宜迟# 这份@兰蔻LANCOME明星「尝星盒」，试用兰蔻当家明星单品，安心挑选正装～618 兰蔻明星护肤尝鲜礼盒 粉水/塑颜/极光水/持妆粉底液 尝星盒 ?原图?,#电视剧生活家# 今晚来《生活家》看小傅卖房啦！ ?[组图共4张]?原图?,最美的@戚砚笛 女士：第四个生日快乐，不过你要每天都快乐，不止生日。感谢漫长岁月里有你陪伴，虽然不能经常见面，但很开心有你这个朋友一直给我力量，为我操心，替我担忧，给我打气。也希望单纯善良的你，能得到更多这个世界的爱。姐妹同心，其利断金！一起跨过所有的坎，成为自己最想成为的人！还有好多好多话，等你回来，我们悄悄说。                ??原图                        ?    ,没有自拍。 ?[组图共4张]?原图?,你的护肤小能手上线啦～夏日出门我有秘密武器#兰蔻小白管#，不仅高倍防晒，肤感清透，后续跟妆也毫无压力。有小白管的加持，放心大胆做烈日下的最“飒”女孩。#一万个理由爱小白管##天猫超级品牌日#@兰蔻LANCOME http://t.cn/A6crnDEu ?[组图共6张]?原图?,这个时代人人都可以成为歌手而我只是其中幸运的一个从追光，到发光从倾听，到倾诉我的四分之一人生谢谢音乐一直都在#傅菁四分之一人生# ?原图?,我会看到很多人因为喜欢我，把0629当作他们很特别的数字，可我更希望，大家能有自己的主旋律???????????????????????????? ?
有姐妹，有泡泡的北京，真的好像还不错。 ?[组图共4张]?原图?,夏季到来，肌肤更易出油，黑头闭口问题频发，来看看我的「泉」能护肤搭配吧！理肤泉清痘水，油皮专属的“磨皮”精华水，复配双酸，疏通毛孔，吸油又控油。后续配合口碑爆款#理肤泉B5修复霜#，蕴含维生素原B5和积雪草苷，修护肌肤，唤醒肌肤活力。想要精准击退各类肌肤问题？快来@京东美妆，上@理肤泉larocheposay 官方旗舰店，收获健康美肌吧！傅菁的微博视频                            ?    ,怎么办，为什么每一次舞台都像大梦一场，真的好希望梦不要醒过来。（好像更加懂了关九的执着。）第一部话剧的正式首演结束了。（虽然其实是第三场）谢谢你们从天南地北来看我，谢谢现场的每一个观众，谢谢我笛特地从老家赶来北京，谢谢每一个亲朋好友，虽然没能给你们留到绝佳的位置。好了，我要睡啦，晚安，明天还有一场！加油！《乌龙山伯爵》玛丽莲，明天见。                ??原图                        ?    ,人生已不容易 要懂得善待你自己。听歌???? http://t.cn/A6ca39Eo??http://t.cn/A6ca39EU#亚洲新歌榜# ?原图?,#百变大咖秀##百变大咖秀收官# 我又来啦这一次模仿的是静姐，难度不小，希望大家多多包涵今晚十点来@湖南卫视 看“X-sister”们的百变首秀吧。 ?原图?,作为歌手、演员，想知道我飒气驾驭时光的秘宝吗？—— #Whoo后天率丹#和率提拉系列，全新升级臻贵川草花与和率晰粬complex成分，时刻细致守护我的肌肤，提拉上扬精致侧颜，在追梦时光中酝酿沉淀#镌刻时光 提拉紧致#@The_History_Of_Whoo后 ?[组图共2张]?原图?,#云中谁寄锦书来开机# 据说我的少女心，即将安放在一副「不可言说」的皮囊里？！， #云中谁寄锦书来# ?[组图共2张]?原图?,#双面的TA# 两种风格的我，会是什么样？快背上#TMonogram# #ToryBurch双T包#打造自己的双面风格！@TORYBURCH汤丽柏琦官方微博 http://t.cn/A6ccUrNM ?[组图共4张]?原图?,今日一别，17号再见感谢大家 ?原图?,#百变大咖秀# 初来乍到，很开心能模仿千与千寻的白龙亲爱的旅人啊！今晚十点记得来看@湖南卫视  ?原图?
 ?[组图共2张]?原图?,边走边唱 ?[组图共9张]?原图?,在@Boucheron宝诗龙 限时体验空间，一起探索自由饰我的个人风格，感受#宝诗龙百年世家# 珠宝作品的无限灵感。http://t.cn/A6cvsKjp ?[组图共9张]?原图?,没有文案……凑合看lo…… ?[组图共12张]?原图?,“追剧女孩”傅总上线，自制追剧小甜品vlog大放送～康康我用#桂格咖啡麦果脆# 研制的“低卡酸奶麦片千层杯”，咖啡味十足的#桂格麦果脆#，超级丰富的食材，搭配酸奶，口感好到转圈圈，轻卡又健康的@桂格燕麦 ，保证吃一口就爱上~快和闺蜜一起#香浓又轻卡 嚼个阿拉比卡# 吧！http://t.cn/A6tduYum 傅菁的微博视频                            ?    ,这个夏天，我的风格要清新多彩。和 @路易威登 一起玩转渐变色，全新 By the Pool 夏日系列为新季穿搭提供更多灵感和可能。 ?[组图共2张]?原图?,#傅菁我愿为你侧耳倾听MV##傅菁用手语说我好想你#森林、蝉鸣、铃声探索世界的声音探索声音的世界你是否也有珍藏在心里的声音？来我这里我愿为你侧耳倾听#亚洲新歌榜# 傅菁的微博视频 ?,@戚砚笛 难得的相聚 ?原图?,她们准备12点发，我等不了要睡了，晚安。 ?[组图共6张]?原图?,@路易威登 将为我们呈现什么样的惊喜？即刻预约http://t.cn/A6tYK0LS，3 月 10 日 21:00邀你和我一起观赏 #LV秋冬21女装秀#  ，探寻女装新风潮。 傅菁的微博视频 ?
都说最近沉浸在开会中的我越来越像社畜。有不是过吗？迟来的节日快乐啊，你们放假有好好休息吗？我是没有啦。 ?原图?,开了一天会，出门吃顿好的犒劳一下自己。 ?原图?,收拾真的好累…… ?,微博正文,还有一个小时就是#六一宝宝节# 了，这个六一我在苏宁陪你们过！23：00上@苏宁易购 看#开心直播夜#，零点0元起，一起瓜分红包，超多爆款等你来抢！哎！就是玩儿！参与更多互动戳：http://t.cn/A6VC6QXz纯享版点击下方播放苏宁易购的微博直播 ?,青春中国，无烟潮流！2021世界无烟日#谢谢你不吸烟#！一起鼓励戒烟，创建无烟环境。#和烟瘾做个了断# ?原图?,花园里的小树下 防晒消暑两件套 绿洲 ?[组图共2张]?原图?,青春的美好印记?? ?[组图共4张]?原图?,打卡每日剧组午餐，来自妈妈的?? 营养健康搭配，吃饭的小小仪式感，快乐满足～#关晓彤2个月午餐打卡# ?[组图共9张]?原图?,收工遛个弯儿～???? ?[组图共6张]?原图?
#一张照片代表你的青春#  奋斗正青春～节日快乐 ?[组图共3张]?原图?,30年来，安踏致力于为中国国家队的训练及比赛，提供顶级装备。追求极致，才铸就冠军品质、领先地位。#爱中国红我穿冬奥国旗款#，和中国国家队一起，穿上中国红，为冬奥助力！ ?原图?,很高兴作为#FRED斐登#中国PrettyWoman代言人，一起揭幕北京王府中環旗舰店，共同见证这一璀璨时刻。初夏时分，邂逅法国蔚蓝海岸的阳光暖意，感受 FRED斐登的法式现代珠宝美学，让我们一同#LiveTheJOY##乐享时刻#。 ?[组图共9张]?原图?,#关晓彤无米寿司# 《吃吃喝喝美美》第十期了！大型节目必须配上彩排流程奇奇妙妙的食材搭配，没有米饭也可以吃到寿司的快乐，真的太好吃啦，大家一定要试试！#关晓彤的吃吃喝喝美美# 关晓彤的微博视频 ?,#关晓彤和猫做瑜伽# 这波苏菲瑜伽姨妈巾的代言人，除了我...还有我家小黑！它会代表@苏菲品牌官方微博 去给姐妹们支喵招，教你做拉伸~ 快来戳话题围观喵招吧！带话题#我的猫会做瑜伽#，晒出你家猫咪的“猫伸”照，苏菲还会抽取猫伸赢家送上福利哦~ 点击链接和我一起灵活拉伸吧！http://t.cn/A6cjQGgx 关晓彤的微博视频                            ?    ,#一只早鸟#  吃好穿暖出早工 绿洲 ?[组图共4张]?原图?,拆开快递以为收到了一包空气，原来是#安踏氢跑鞋# ，一双轻到可以忽略的跑鞋。只要它够轻，穿鞋量体重都不担心了！小仙女春夏穿搭必备，快去天猫搜索#安踏氢跑鞋zero# get同款装备吧#FLASHLITE 3.0##重新定义轻#@安踏跑步 ?[组图共4张]?原图?,生日快乐啦 @M鹿M ?原图?,#关晓彤王牌收官vlog# 《吃吃喝喝美美》第九期，告别《王牌对王牌》第六季每一次登场与道别，每一次挑战与收获 ，还有哥哥姐姐弟弟合作的欢乐，王牌家族 three four one two，我们很快会再见面～#关晓彤的吃吃喝喝美美# 关晓彤的微博视频 ?,#王牌对王牌# 六周年收官作业——王牌家族综合表现互评表～评分不算绩效也不发奖金那就发扬家族的优良传统，夸夸哥哥姐姐弟弟们吧！ ?[组图共6张]?原图?
捧在帽里的小胖儿?? 绿洲 ?[组图共2张]?原图?,#王牌对王牌# 一起来推理，解开谜题?? ?[组图共4张]?原图?,火龙果捞酸奶～简简单单的下午小零食?? ?[组图共3张]?原图?,高冷一下 继续开工 绿洲 ?[组图共3张]?原图?,给自己和工作室都补点粮～哈哈 ?[组图共4张]?原图?,2021 #地球一小时# ，与我一起关注地球生态环境，了解地球生态知识，一起#为地球发声# 吧！ 你知道周围哪些自然环境属于湿地么？不知道的小伙伴指路@地球一小时 @WWF世界自然基金会 获取答案哟。 ?[组图共2张]?原图?,很荣幸参与@Valentino官方微博  DI.Vas全球广告企划。DI.Vas 在我眼中代表着个性，不被定义，敢于表达自我。热情又自在的一次拍摄，和我一起探索多元精彩吧！??#ValentinoDiVas# #ValentinoCollezioneMilano# #Romanstud#  关晓彤的微博视频 ?,收工看樱花～?? ?[组图共6张]?原图?,#王牌对王牌# 王牌乐队燥起来?? ?[组图共4张]?原图?,享受春天的暖阳 自在的一次拍摄感谢@嘉人NOW@冯志凯 #关晓彤春日慵懒大片# ?? ?[组图共9张]?原图?
发型加载中…自拍还是他拍#二月二发型大赏# ?[组图共4张]?原图?,很高兴能成为@舒蕾 品牌的全新代言人，植萃精油，润发更轻盈。想要打造举手投足间自然而然的美，那就与我一起闪耀秀发与众不“彤”！http://t.cn/A6t81GFN 关晓彤的微博视频 ?,#王牌对王牌# 魔法学院变身，小丑女出战?? ?[组图共6张]?原图?,#中国再出发# 一起加油，未来更好！?? 微博视频 追梦赤子心 ?,#关晓彤王牌水袖舞全记录# 《吃吃喝喝美美》第七期～每次录王牌都像在参加舞蹈比赛每周都有新的舞台挑战，这期记录一下现学现卖水袖舞的一天 关晓彤的微博视频 ?,#王牌对王牌# 今晚跳水袖舞～用《吃吃喝喝美美》记录了这期才艺的练习过程，哪天见呢？ ?[组图共4张]?原图?,法国薇婷的百年海报上，法式少女感扑面而来，忍不住复刻一下～体验薇婷脱毛膏带来的丝滑净美，穿越百年的法式风情！@薇婷官方微博 #法国薇婷净养新体验深层净深度养# ?[组图共9张]?原图?,#曾少年开机# 幸好，曾经的我爱过年少的你——我是谢乔。@剧版曾少年 ?,#胡兵自责落泪#@胡兵老师你是最棒的班主任加油?? ?,这个最好看的妈妈就是我亲爱的妈妈，照片的小朋友就是我自己，愿天堂的妈妈每天都是母亲节???????????????? ?原图?
我的最新发型我虽然不是最好看的妈妈但我一定要做最好的妈妈么么哒哒 ?原图?,青春不停步，永远跟党走！祝大家五四青年节快乐 ?原图?,祝大家节日快乐 ?[组图共9张]?原图?,#妈妈你真好看# 凹造型大片送上你们给阿姨的时尚感打多少分呢？今晚十点湖南卫视不见不散 ?原图?,很开心在#妈妈你真好看# 圆了自己多年来的T台梦，感谢@胡兵 @刘雯 两位专业老师给出的让我获益匪浅的鼓励和建议，感谢女儿的陪伴和支持！ ?[组图共9张]?原图?,第一篇微博，欢迎大家多多关注 ?[组图共9张]?原图?,微博正文,#致稳步向前的你#早安路边偶遇一群小蘑菇?? 绿洲 ?原图?,哇！看到#活力一夏，与你超配# 活动，我也忍不住来交作业啦！你们想要和我一起get同款活动吗，具体参与规则详见下面长图哦，也可以关注@爱尔康爱眼俱乐部 置顶微博，我还空投了5份小礼物 ，快发给我的蘑菇们！ ?[组图共2张]?原图?,记录一次不一样的尝试?? 冯提莫的微博视频 ?
521 留给你们的第二组照片来啦 ?[组图共9张]?原图?,特别的日子，给你们来点不一样的侠客莫 ?[组图共9张]?原图?,提前给你们小小透露一下这两组风格你们想先看哪组？ ?[组图共2张]?原图?,#元气夏日冲冲冲# 天气不错，适合外出 你们的城市附近有风景好的地方推荐吗？ 绿洲 ?[组图共3张]?原图?,作为一个重庆万州人，干饭怎么能少了烤鱼！??你家乡的特色菜是什么？#星星调查# #我的今日份工作餐#  绿洲 ?原图?,#给妈妈的情书##妈妈我想对你说# 祝妈妈们母亲节快乐！不止母亲节，每一天都要给妈妈满满的爱，还有听妈妈的话?? 冯提莫的微博视频 ?,吃顿火锅给假期一个完美句号～明天加油嗷！??#这样最自由#  绿洲 ?[组图共2张]?原图?,《苏州街游记》 之假期还有两天就结束了！ 绿洲 #这样最自由# ?[组图共4张]?原图?,感谢大家给《Minimanimo》“年度最佳电子音乐单曲”这个认可，未来我会继续努力的 ?[组图共2张]?原图?,我的专属话筒到啦！ 开心！5.2号可以用它给你们唱歌咯～ 绿洲 #这样最自由# #星光种草季# ?原图?
猜猜我今天拍摄的什么主题？（挡成这样应该没人能猜出来吧？）#这样最自由# ?原图?,吃个瓜??最中间的一勺你们先吃#这样最自由#  绿洲 ?[组图共3张]?原图?,今天吃简单点，就吃点草吧??#这样最自由#  绿洲 ?[组图共3张]?原图?,#活力过春天# 春暖花开?? 绿洲 ?[组图共2张]?原图?,#百变大咖秀# 我来了！今天的造型有点“A”晚上十点的@湖南卫视 舞台，也有点帅！ ?原图?,一次奇妙的模仿尝试今晚22:00来  #百变大咖秀# 看看A妹A不A 冯提莫的微博视频 ?,《春暖花开》，感受春天，追寻生活的美好~4月3日18：30我在  #河南清明奇妙游#  微博直播间等你！和@猛犸新闻 @河南卫视 一起超前点映，欢迎大家一起来感受春暖花开? ?原图?,女生的照片憋着不发会过期的??#活力过春天# #动出活力满满#  绿洲 ?[组图共4张]?原图?,我的剧本杀首秀来了！现在起，在#冯提莫[超话]#中带#推理信条魔鬼细节#参与话题讨论，还有福利拿哟[牛大发]第一次玩剧本杀真的好紧张！3月20日19：00B站搜索#推理信条# ，来直播间和我一起找凶手吧！预约请戳→http://t.cn/A6tEbPDo ?[组图共2张]?原图?,#春日限定# #星享乐一下# ?? 相册里记录的生活边角料  绿洲 ?[组图共4张]?原图?
#宇宙音乐之夜# 感谢“宇宙十佳舞台奖”对《自己》这首歌的肯定，今天很开心?? 宇宙打歌中心的优酷视频 ?,#春日限定# #星享乐一下# 今天#惊蛰#  万物复苏～你还在睡懒觉吗？ 绿洲 ?[组图共6张]?原图?,#我要我的运动范# #运动星力量# 射箭初体验?? 春天动一动，身体健康不放松 绿洲 ?[组图共3张]?原图?,今天是我的生日04月29日，来祝福我吧~ ?,微博正文,造型独树一帜，自有我来定义。@路易威登 CAPUCINES 手袋，细腻柔软质地，魅力型格随性释放。 ?[组图共4张]?原图?,两位院士一路走好 ?[组图共2张]?原图?,好久不见， #618年中追新季#我为大家挑选的必囤星品就是资生堂美白精华「樱花瓶」——解锁#美白密码4MSK#，见证由内而外的焕白能量。5月24日晚8点资生堂天猫期舰店618预售准点开启，定好闹钟提前锁定心动好礼吧～资「生」礼遇，尽在618！SHISEIDO资生堂官方旗舰店 ?原图?,夜戏回来 听会歌 撸会猫 ?[组图共3张]?原图?,愿你们在期待中邂逅爱情，在爱情中表达真我，这一刻，随心所爱！为你们准备了520表白送礼攻略http://t.cn/A6V2Z9FU，祝大家每一刻都被爱围绕！瑞士天梭表Tissot的微博视频@瑞士天梭表Tissot#这一刻随心所爱# ?
